Position,Team,Driver,Time,Lap,Points,Location
1,Red Bull,Verstappen,1.93,39,25,Bahrain
2,Red Bull,Perez,2,2,18,Bahrain
3,Alfa Romeo,Raikkonen,2.17,29,15,Bahrain
4,Alfa Romeo,Raikkonen,2.2,13,0,Bahrain
5,Red Bull,Perez,2.22,19,0,Bahrain
6,Williams,Latifi,2.23,32,12,Bahrain
7,Mercedes,Bottas,2.24,16,10,Bahrain
8,Williams,Russell,2.26,13,8,Bahrain
9,Williams,Russell,2.27,36,0,Bahrain
10,Red Bull,Perez,2.37,38,0,Bahrain
11,Mercedes,Hamilton,2.42,28,6,Bahrain
12,Ferrari,Leclerc,2.45,32,4,Bahrain
13,Alfa Romeo,Giovinazzi,2.5,30,2,Bahrain
14,Alpine,Alonso,2.51,11,1,Bahrain
15,Alpine,Ocon,2.55,31,0,Bahrain
16,Aston Martin,Stroll,2.56,12,0,Bahrain
17,Mercedes,Bottas,2.57,54,0,Bahrain
18,AlphaTauri,Gasly,2.68,19,0,Bahrain
19,Red Bull,Verstappen,2.71,17,0,Bahrain
20,Ferrari,Sainz,2.73,15,0,Bahrain
21,Ferrari,Sainz,2.77,37,0,Bahrain
22,AlphaTauri,Tsunoda,2.79,33,0,Bahrain
23,Mercedes,Hamilton,2.92,13,0,Bahrain
24,Aston Martin,Vettel,2.94,24,0,Bahrain
25,Ferrari,Leclerc,2.95,12,0,Bahrain
26,McLaren,Ricciardo,2.95,13,0,Bahrain
27,Alpine,Ocon,3.08,13,0,Bahrain
28,AlphaTauri,Tsunoda,3.1,15,0,Bahrain
29,AlphaTauri,Gasly,3.19,39,0,Bahrain
30,McLaren,Ricciardo,3.2,32,0,Bahrain
31,McLaren,Norris,3.2,12,0,Bahrain
32,Alpine,Alonso,3.21,29,0,Bahrain
33,Haas,Schumacher,3.22,33,0,Bahrain
34,Haas,Schumacher,3.64,14,0,Bahrain
35,Aston Martin,Stroll,3.74,28,0,Bahrain
36,McLaren,Norris,3.93,33,0,Bahrain
37,Williams,Latifi,4.33,14,0,Bahrain
38,Alfa Romeo,Giovinazzi,10.2,12,0,Bahrain
39,Mercedes,Bottas,10.95,30,0,Bahrain
40,AlphaTauri,Gasly,15.7,4,0,Bahrain
1,Mercedes,Bottas,2.24,28,25,Imola
2,Red Bull,Verstappen,2.27,27,18,Imola
3,Alpine,Ocon,2.33,27,15,Imola
4,Alpine,Ocon,2.43,31,0,Imola
5,Alfa Romeo,Raikkonen,2.48,26,12,Imola
6,Williams,Russell,2.51,26,10,Imola
7,Ferrari,Sainz,2.63,27,8,Imola
8,Ferrari,Leclerc,2.67,28,6,Imola
9,Aston Martin,Vettel,2.69,20,4,Imola
10,Alpine,Ocon,2.71,1,0,Imola
11,Alfa Romeo,Giovinazzi,2.76,40,0,Imola
12,AlphaTauri,Gasly,2.78,14,2,Imola
13,Alpine,Alonso,2.86,28,1,Imola
14,McLaren,Norris,2.87,28,0,Imola
15,AlphaTauri,Tsunoda,3.06,25,0,Imola
16,Aston Martin,Stroll,3.08,27,0,Imola
17,Haas,Mazepin,3.28,12,0,Imola
18,Haas,Mazepin,3.35,23,0,Imola
19,Aston Martin,Vettel,3.43,3,0,Imola
20,AlphaTauri,Gasly,3.75,26,0,Imola
21,Haas,Schumacher,4.03,21,0,Imola
22,Mercedes,Hamilton,4.04,28,0,Imola
23,Alfa Romeo,Giovinazzi,4.72,27,0,Imola
24,McLaren,Ricciardo,6.41,27,0,Imola
25,Mercedes,Hamilton,10,31,0,Imola
26,Aston Martin,Vettel,10.27,22,0,Imola
27,Red Bull,Perez,16.94,28,0,Imola
28,Haas,Schumacher,21.38,5,0,Imola
1,Red Bull,Verstappen,1.98,64,25,Portugal
2,Aston Martin,Stroll,2.08,39,18,Portugal
3,Ferrari,Sainz,2.26,21,15,Portugal
4,AlphaTauri,Gasly,2.26,24,12,Portugal
5,AlphaTauri,Tsunoda,2.37,21,10,Portugal
6,Red Bull,Verstappen,2.38,35,0,Portugal
7,Alpine,Alonso,2.41,40,8,Portugal
8,Williams,Latifi,2.42,24,6,Portugal
9,Alpine,Ocon,2.5,22,4,Portugal
10,Alfa Romeo,Giovinazzi,2.54,22,2,Portugal
11,Mercedes,Hamilton,2.58,37,1,Portugal
12,Red Bull,Perez,2.69,51,0,Portugal
13,Mercedes,Bottas,2.71,63,0,Portugal
14,Williams,Russell,2.79,28,0,Portugal
15,Mercedes,Bottas,2.84,36,0,Portugal
16,Aston Martin,Vettel,2.92,22,0,Portugal
17,Haas,Mazepin,2.93,31,0,Portugal
18,Haas,Mazepin,2.93,43,0,Portugal
19,Haas,Schumacher,3.14,32,0,Portugal
20,McLaren,Norris,3.3,22,0,Portugal
21,Ferrari,Leclerc,3.48,25,0,Portugal
22,McLaren,Ricciardo,4.88,41,0,Portugal
1,Aston Martin,Stroll,2.16,39,25,Barcelona
2,Red Bull,Perez,2.18,57,18,Barcelona
3,Williams,Latifi,2.21,27,15,Barcelona
4,Ferrari,Leclerc,2.24,28,12,Barcelona
5,Mercedes,Bottas,2.25,53,10,Barcelona
6,Red Bull,Verstappen,2.26,60,8,Barcelona
7,Ferrari,Sainz,2.27,22,6,Barcelona
8,Alfa Romeo,Giovinazzi,2.3,39,4,Barcelona
9,Alfa Romeo,Raikkonen,2.31,37,2,Barcelona
10,Aston Martin,Stroll,2.35,22,0,Barcelona
11,Mercedes,Hamilton,2.37,42,1,Barcelona
12,Aston Martin,Vettel,2.38,38,0,Barcelona
13,Williams,Latifi,2.5,50,0,Barcelona
14,Williams,Russell,2.52,28,0,Barcelona
15,Alpine,Alonso,2.56,21,0,Barcelona
16,McLaren,Ricciardo,2.6,46,0,Barcelona
17,McLaren,Norris,2.67,23,0,Barcelona
18,Ferrari,Sainz,2.7,46,0,Barcelona
19,Mercedes,Hamilton,2.71,28,0,Barcelona
20,Haas,Schumacher,2.74,50,0,Barcelona
21,Mercedes,Bottas,2.76,23,0,Barcelona
22,Ferrari,Leclerc,2.77,58,0,Barcelona
23,McLaren,Ricciardo,3.06,25,0,Barcelona
24,Red Bull,Perez,3.18,27,0,Barcelona
25,Williams,Latifi,3.28,9,0,Barcelona
26,McLaren,Norris,3.3,51,0,Barcelona
27,Alpine,Ocon,3.38,23,0,Barcelona
28,Haas,Mazepin,3.45,22,0,Barcelona
29,Haas,Mazepin,3.5,42,0,Barcelona
30,Aston Martin,Vettel,4.09,21,0,Barcelona
31,Red Bull,Verstappen,4.25,24,0,Barcelona
32,Alpine,Alonso,4.29,61,0,Barcelona
33,Williams,Russell,4.35,9,0,Barcelona
34,Haas,Schumacher,4.87,23,0,Barcelona
35,AlphaTauri,Gasly,6.78,47,0,Barcelona
36,AlphaTauri,Gasly,8.7,18,0,Barcelona
37,Alfa Romeo,Giovinazzi,35.19,8,0,Barcelona
1,Red Bull,Verstappen,2.02,34,25,Monaco
2,Mercedes,Hamilton,2.25,29,18,Monaco
3,Aston Martin,Stroll,2.27,58,15,Monaco
4,McLaren,Norris,2.29,30,12,Monaco
5,Williams,Latifi,2.32,43,10,Monaco
6,Alpine,Ocon,2.35,37,8,Monaco
